dataset,pred_len,variant,selected,best_epoch,seed,channels,n_groups,base_val_mse,best_val_mse,base_test_mse,test_mse,base_test_mae,test_mae,mse_gain_vs_iTransformer_%,mae_gain_vs_iTransformer_%,alpha_mean,alpha_abs_mean,alpha_min,alpha_max,attention_l1_group1_group4,attention_topk_jaccard_group1_group4,attention_entropy_mean,new_trainable_params,runtime_sec,teacher_cache,checkpoint_fidelity_abs_mse,alpha_1,alpha_2,alpha_3,alpha_4
Electricity,192,SharedPredictiveBias,SharedPredictiveBias,6,2026,321,4,0.14251626205645646,0.1424453463907568,0.1643339007971105,0.16427256959145656,0.2557519120416134,0.25572340304155955,0.03732109160462071,0.011147130758974347,0.1541176438331604,0.1541176438331604,0.1541176438331604,0.1541176438331604,0.0,0.9999999403953552,5.402398109436035,1,68.20268678665161,results/results_intermediate_horizon_hybrid_router/predictive_teacher_cache/Electricity_H192_predictive_topk.npz,3.6928044094830526e-08,0.1541176438331604,,,
Electricity,192,HorizonGroupedPredictiveBias,HorizonGroupedPredictiveBias,1,2026,321,4,0.14251626205645646,0.1424757946142918,0.1643339007971105,0.16431096480645094,0.2557519120416134,0.25577035326176006,0.013956944092669758,-0.007210589355694928,0.12089003622531891,0.12089003622531891,0.03717222809791565,0.23056244850158691,0.0005338396294973791,0.4160817861557007,5.403573513031006,4,73.83472847938538,results/results_intermediate_horizon_hybrid_router/predictive_teacher_cache/Electricity_H192_predictive_topk.npz,3.6928044094830526e-08,0.10739944875240326,0.03717222809791565,0.10842601954936981,0.23056244850158691
ETTh1,336,SharedPredictiveBias,SharedPredictiveBias,4,2026,7,4,1.293113067803558,1.292744899773361,0.4768635359657124,0.47667889546151837,0.45197437371467497,0.45196415395802847,0.038719778357578095,0.0022611363034827276,-0.44501039385795593,0.44501039385795593,-0.44501039385795593,-0.44501039385795593,0.0,1.0,1.3393350839614868,1,13.578303575515747,results/results_intermediate_horizon_hybrid_router/predictive_teacher_cache/ETTh1_H336_predictive_topk.npz,6.754221210103495e-08,-0.44501039385795593,,,
ETTh1,336,HorizonGroupedPredictiveBias,HorizonGroupedPredictiveBias,4,2026,7,4,1.293113067803558,1.2927529810195812,0.4768635359657124,0.47677046116595584,0.45197437371467497,0.45201438350235723,0.01951812053905027,-0.008852224818285357,-0.3632045090198517,0.3632045090198517,-0.6363875865936279,-0.2667458951473236,0.04551732540130615,0.8467262387275696,1.3548157215118408,4,25.069164991378784,results/results_intermediate_horizon_hybrid_router/predictive_teacher_cache/ETTh1_H336_predictive_topk.npz,6.754221210103495e-08,-0.28059446811676025,-0.26909011602401733,-0.2667458951473236,-0.6363875865936279
ETTm1,336,SharedPredictiveBias,SharedPredictiveBias,5,2026,7,4,0.6655159076231073,0.6653740936656359,0.4279013144555186,0.42755342056117435,0.42037148422473175,0.4201665686626615,0.08130236636148912,0.04874630410484813,-0.2275732308626175,0.2275732308626175,-0.2275732308626175,-0.2275732308626175,0.0,1.0,1.6177836656570435,1,56.79488730430603,results/results_intermediate_horizon_hybrid_router/predictive_teacher_cache/ETTm1_H336_predictive_topk.npz,5.573437675820969e-07,-0.2275732308626175,,,
ETTm1,336,HorizonGroupedPredictiveBias,HorizonGroupedPredictiveBias,1,2026,7,4,0.6655159076231073,0.6653174120568999,0.4279013144555186,0.4276726673858874,0.42037148422473175,0.42019141868128285,0.05343453312877925,0.04283486159414193,-0.16193117201328278,0.21127213537693024,-0.41770070791244507,0.09868194907903671,0.017222393304109573,0.8883929252624512,1.6166077852249146,4,62.89857816696167,results/results_intermediate_horizon_hybrid_router/predictive_teacher_cache/ETTm1_H336_predictive_topk.npz,5.573437675820969e-07,-0.22025573253631592,-0.41770070791244507,-0.10845019668340683,0.09868194907903671
Solar,720,SharedPredictiveBias,SharedPredictiveBias,7,2026,137,4,0.17665205120096727,0.17651578391194636,0.2561395350426353,0.25610720126260156,0.27960230535857583,0.2795278804928477,0.012623502275184984,0.0266181159102646,0.1193399503827095,0.1193399503827095,0.1193399503827095,0.1193399503827095,0.0,1.0,4.2456488609313965,1,132.68563389778137,results/results_oracle_predictive_routing/oracle_cache/Solar_H720_predictive_topk.npz,3.6693491169970116e-06,0.1193399503827095,,,
Solar,720,HorizonGroupedPredictiveBias,HorizonGroupedPredictiveBias,4,2026,137,4,0.17665205120096727,0.17662686270048056,0.2561395350426353,0.2561609694285676,0.27960230535857583,0.27965339632124897,-0.008368245819102137,-0.01827272583021721,-0.011741835623979568,0.09229078143835068,-0.18889634311199188,0.10795880109071732,0.000569478259421885,0.8428702354431152,4.248537063598633,4,187.82801699638367,results/results_oracle_predictive_routing/oracle_cache/Solar_H720_predictive_topk.npz,3.6693491169970116e-06,-0.01916888728737831,0.10795880109071732,0.0531390905380249,-0.18889634311199188
